mineralName_ja,mineralName_katakana,mineralName_en,category
アクアマリン（緑柱石の一種）,アクアマリン,Aquamarine,シクロ(サイクロ）珪酸塩鉱物
アタカマ石,アタカマ,Atacamite,ハロゲン化鉱物
アダム鉱,アダム,Adamite,砒酸塩鉱物
アノーソクレース,アノーソクレース,Anorthoclase,テクト珪酸塩鉱物
アンケル石,アンケル,Ankerite,炭酸塩鉱物
アントレル鉱,アントレル,Antlerite,硫酸塩鉱物
ウラノフェン,ウラノフェン,Uranophane,ネソ珪酸塩鉱物
ウルツ鉱,ウルツ,Wurtzite,硫化鉱物・硫塩鉱物
エジリン輝石（錐輝石）,エジリン,Aegirine,イノ珪酸塩鉱物
オリーブ銅鉱,オリーブ,Olivenite,砒酸塩鉱物
カーン石,カーン,Kahnite,硼酸塩鉱物
カルノー石,カルノー,Carnotite,バナジン酸塩鉱物
キューバ鉱,キューバ,Cubanite,硫化鉱物・硫塩鉱物
クトナホラ石,クトナホラ,Kutnohorite,炭酸塩鉱物
クリプトメレン,クリプトメレン,Cryptomelane,酸化鉱物
クロム鉄鉱,クロム,Chromite,酸化鉱物
ゲーレン石,ゲーレン,Gehlenite,ソロ珪酸塩鉱物
コールマン石,コールマン,Colemanite,硼酸塩鉱物
コルンブ石,コルンブ,Columbite,酸化鉱物
ジルコン,ジルコン,Zircon,ネソ珪酸塩鉱物
スコロド石（葱臭石）,スコロド,Scorodite,砒酸塩鉱物
ズニ石,ズニ,Zunyite,ソロ珪酸塩鉱物
スパー石,スパー,Spurrite,ネソ珪酸塩鉱物
セムセイ鉱,セムセイ,Semseyite,硫化鉱物・硫塩鉱物
ソーダ沸石,ソーダ,Natrolite,テクト珪酸塩鉱物
ダイヤモンド,ダイヤモンド,Diamond,元素鉱物
ダトー石,ダトー,Datolite,ネソ珪酸塩鉱物
ダンブリ石,ダンブリ,Danburite,ソロ珪酸塩鉱物
チタン石（くさび石）,チタン,Titanite,ネソ珪酸塩鉱物
チタン鉄鉱,チタン,Ilmenite,酸化鉱物
チリ硝石,チリ,Nitratine,硝酸塩鉱物
ティール鉱,ティール,Teallite,硫化鉱物・硫塩鉱物
ティレー石,ティレー,Tilleyite,ソロ珪酸塩鉱物
デーナ石,デーナ,Danalite,テクト珪酸塩鉱物
デクロワゾー石,デクロワゾー,Descloizite,バナジン酸塩鉱物
テフロ石,テフロ,Tephroite,ネソ珪酸塩鉱物
デュモルチ石,デュモルチ,Dumortierite,ネソ珪酸塩鉱物
デュルレ鉱,デュルレ,Djurleite,硫化鉱物・硫塩鉱物
テルル石,テルル,Tellurite,酸化鉱物
テルル蒼鉛鉱,テルル,Tetradymite,硫化鉱物・硫塩鉱物
ドーソン石,ドーソン,Dawsonite,炭酸塩鉱物
トパーズ（曹長石上）,トパーズ,Topaz,ネソ珪酸塩鉱物
トルコ石,トルコ,Turquoise,燐酸塩鉱物
パイロクスマンガン石,パイロクスマンガン,Pyroxmangite,イノ珪酸塩鉱物
ハウスマン鉱,ハウスマン,Hausmannite,酸化鉱物
バスタム石,バスタム,Bustamite,イノ珪酸塩鉱物
バナジン鉛鉱,バナジン,Vanadinite,バナジン酸塩鉱物
バビントン石,バビントン,Babingtonite,イノ珪酸塩鉱物
バラ輝石,ロドナイト,Rhodonite,イノ珪酸塩鉱物
バリシア石,バリシア,Variscite,燐酸塩鉱物
ビクスビ鉱,ビクスビ,Bixbyite,酸化鉱物
ヒスイ輝石,ヒスイ,Jadeite,イノ珪酸塩鉱物
フェルグソン石,フェルグソン,Fergusonite,酸化鉱物
プライス石,プライス,Priceite,硼酸塩鉱物
ブラウン鉱,ブラウン,Braunite,ネソ珪酸塩鉱物
フランクリン鉄鉱,フランクリン,Franklinite,酸化鉱物
ブロシャン銅鉱,ブロシャン,Brochantite,硫酸塩鉱物
ペクトライト（ソーダ珪灰石）,ペクトライト,Pectolite,イノ珪酸塩鉱物
ベクレル石,ベクレル,Becquerelite,酸化鉱物
ベスブ石,ベスブ,Vesuvianite,ソロ珪酸塩鉱物
ベゼリ石,ベゼリ,Berzeliite,燐酸塩鉱物
ペタル石,ペタル,Petalite,フィロ珪酸塩鉱物
ベニト石,ベニト,Benitoite,シクロ(サイクロ）珪酸塩鉱物
ベルチェ鉱,ベルチェ,Berthierite,硫化鉱物・硫塩鉱物
ポルクス石,ポルクス,Pollucite,テクト珪酸塩鉱物
ボレオ石,ボレオ,Boleite,ハロゲン化鉱物
マラヤ石,マラヤ,Malaya Garnet,ネソ珪酸塩鉱物
マンガンパイロスマライト,マンガンパイロスマライト,Pyrosmalite-(Mn),フィロ珪酸塩鉱物
マンガン斧石,マンガン,Manganaxinite,シクロ(サイクロ）珪酸塩鉱物
ミメット鉱,ミメット,Mimetite,砒酸塩鉱物
メタ砒銅ウラン,ウラン,Metazeunerite,砒酸塩鉱物
モナズ石,モナズ,Monazite,燐酸塩鉱物
モリブデン鉛鉱,モリブデン,Wulfenite,モリブデン酸塩鉱物
モルデン沸石,モルデン,Mordenite,テクト珪酸塩鉱物
モンチセリ石,モンチセリ,Monticellite,ネソ珪酸塩鉱物
ユークセン石,ユークセン,Euxenite,酸化鉱物
ヨハンセン輝石,ヨハンセン,Johannsenite,イノ珪酸塩鉱物
リシア輝石,リシア,Spodumene,イノ珪酸塩鉱物
リシア電気石,リシア,Elbaite,シクロ(サイクロ）珪酸塩鉱物
ルソン銅鉱,ルソン,Luzonite,硫化鉱物・硫塩鉱物
ルドイヒ石,ルドイヒ,Ludwigite,硼酸塩鉱物
亜灰長石,,,テクト珪酸塩鉱物
安四面銅鉱,,,硫化鉱物・硫塩鉱物
異極鉱,,,ソロ珪酸塩鉱物
煙水晶,,Smoky Quartz,酸化鉱物
鉛重石,,Stolzite,タングステン酸塩鉱物
黄玉（トパーズ）,トパーズ,Topaz,ネソ珪酸塩鉱物
黄錫鉱,,Stannite,硫化鉱物・硫塩鉱物
黄鉄鉱,,Pyrite,硫化鉱物・硫塩鉱物
黄銅鉱,,Chalcopyrite,硫化鉱物・硫塩鉱物
霞石,,Nepheline,テクト珪酸塩鉱物
灰クロムザクロ石,クロムザクロ,Uvarovite,ネソ珪酸塩鉱物
灰霞石（カンクリナイト）,カンクリナイト,Cancrinite,テクト珪酸塩鉱物
灰重石,,Scheelite,タングステン酸塩鉱物
灰長石,,Anorthite,テクト珪酸塩鉱物
灰礬柘榴石,,Grossular,ネソ珪酸塩鉱物
滑石,,,フィロ珪酸塩鉱物
褐簾石,,,ソロ珪酸塩鉱物
含マンガン方解石,マンガン,Manganoan Calcite,炭酸塩鉱物
岩塩,,,ハロゲン化鉱物
頑火輝石,,,イノ珪酸塩鉱物
輝コバルト鉱,コバルト,Cobaltite,硫化鉱物・硫塩鉱物
輝安鉱,,Stibnite,硫化鉱物・硫塩鉱物
輝水鉛鉱,,Bismuthinite,硫化鉱物・硫塩鉱物
輝銅鉱,,Chalcocite,硫化鉱物・硫塩鉱物
輝沸石,,Heulandite,テクト珪酸塩鉱物
吉村石,,,ソロ珪酸塩鉱物
魚眼石,,,フィロ珪酸塩鉱物
玉髄,,Chalcedony,酸化鉱物
金雲母,,Phlogopite,フィロ珪酸塩鉱物
金銀鉱石,,,元素鉱物
金銀鉱石（銀黒鉱）,,,元素鉱物
金紅石（ルチル）,ルチル,Rutile,酸化鉱物
銀星石,,,燐酸塩鉱物
苦灰石（ドロマイト）,ドロマイト,Dolomite,炭酸塩鉱物
苦土電気石,,,シクロ(サイクロ）珪酸塩鉱物
珪ニッケル鉱,ニッケル,Garnierite,フィロ珪酸塩鉱物
珪灰石,,Wollastonite,イノ珪酸塩鉱物
珪灰鉄鉱,,Hedenbergite,ソロ珪酸塩鉱物
珪孔雀石,,Chrysocolla,イノ珪酸塩鉱物
珪線石,,Sillimanite,ネソ珪酸塩鉱物
蛍石,,Fluorite,ハロゲン化鉱物
鶏冠石,,Realgar,硫化鉱物・硫塩鉱物
原田石,,,イノ珪酸塩鉱物
孔雀石,,Malachite,炭酸塩鉱物
硬石膏,,Anhydrite,硫酸塩鉱物
紅鉛鉱,,Crocoite,クロム酸塩鉱物
紅柱石,,Andalusite,ネソ珪酸塩鉱物
紅簾石,,,ソロ珪酸塩鉱物
紅砒ニッケル鉱,ニッケル,Nickeline,硫化鉱物・硫塩鉱物
鋼玉（コランダム）,コランダム,Corundum,酸化鉱物
鋼玉（ルビー）,ルビー,Ruby,酸化鉱物
轟石（トドロキイシ）,トドロキイシ,Todorokite,酸化鉱物
黒雲母,,Biotite,フィロ珪酸塩鉱物
砂金,,Gold,元素鉱物
紫水晶,,Amethyst,酸化鉱物
磁鉄鉱,,Magnetite,酸化鉱物
磁硫鉄鉱,,Pyrrhotite,硫化鉱物・硫塩鉱物
自然アンチモニー,アンチモニー,Antimony,元素鉱物
自然テルル,テルル,Tellurium,元素鉱物
自然金,,Gold,元素鉱物
自然銀,,Silver,元素鉱物
自然水銀,,Mercury,元素鉱物
自然蒼鉛,,Bismuth,元素鉱物
自然鉄,,Iron,元素鉱物
自然銅,,Copper,元素鉱物
自然硫黄,,Sulfur,元素鉱物
自然砒,,Arsenic,元素鉱物
斜灰簾石,,,ソロ珪酸塩鉱物
車骨鉱,,,硫化鉱物・硫塩鉱物
錫石,,Cassiterite,酸化鉱物
十字石,,,ネソ珪酸塩鉱物
重晶石,,Barite,硫酸塩鉱物
重晶石（北投石）,,,硫酸塩鉱物
小藤石,,,硼酸塩鉱物
神岡鉱,,,酸化鉱物
神保石,,,硼酸塩鉱物
針銀鉱（輝銀鉱）,,Acanthite,硫化鉱物・硫塩鉱物
針鉄鉱,,Goethite,酸化鉱物
針鉄鉱（褐鉄鉱）,,Goethite,酸化鉱物
人形石,,,燐酸塩鉱物
水マンガン鉱,マンガン,Manganite,酸化鉱物
水亜鉛土,,,炭酸塩鉱物
水鉛華,,,モリブデン酸塩鉱物
水滑石（ブルース石）,ブルース,Brucite,酸化鉱物
水晶,,Quartz,酸化鉱物
水晶（石英）,,Quartz,酸化鉱物
翠銅鉱,,Dioptase,シクロ(サイクロ）珪酸塩鉱物
正長石,,Orthoclase,テクト珪酸塩鉱物
青鉛鉱,,Linarite,硫酸塩鉱物
石膏,,Gypsum,硫酸塩鉱物
砂漠の薔薇,デザートローズ,Desert Rose,硫酸塩鉱物
雪花石膏,アラバスター,Alabaster,硫酸塩鉱物
透石膏,セレナイト,Selenite,硫酸塩鉱物
石墨,,,元素鉱物
赤鉄鉱,,Hematite,酸化鉱物
赤鉄鉱（雲母鉄鉱）,,Hematite,酸化鉱物
赤鉄鉱（鏡鉄鉱）,,Hematite,酸化鉱物
赤銅鉱,,Cuprite,酸化鉱物
閃ウラン鉱,ウラン,Uraninite,酸化鉱物
閃マンガン鉱,マンガン,Alabandite,硫化鉱物・硫塩鉱物
閃亜鉛鉱,,Sphalerite,硫化鉱物・硫塩鉱物
曹灰硼石（ウレックス石）,ウレックス,Ulexite,硼酸塩鉱物
大隅石,,Osumilite,シクロ(サイクロ）珪酸塩鉱物
辰砂,,Cinnabar,硫化鉱物・硫塩鉱物
胆礬,,Chalcanthite,硫酸塩鉱物
蛋白石（オパール、タンパクセキ）,タンパクセキ,Opal,酸化鉱物
中性長石,,Labradorite,テクト珪酸塩鉱物
中沸石,,Mesolite,テクト珪酸塩鉱物
柱石,,Scapolite,テクト珪酸塩鉱物
鉄マンガン重石,マンガン,Wolframite,酸化鉱物
鉄電気石,,Schorl,シクロ(サイクロ）珪酸塩鉱物
鉄明礬石,,Jarosite,硫酸塩鉱物
鉄礬石榴石,,Almandine,ネソ珪酸塩鉱物
天青石,,Celestite,硫酸塩鉱物
湯河原沸石,,Yugawaralite,テクト珪酸塩鉱物
透輝石,,Diopside,イノ珪酸塩鉱物
透閃石,,Tremolite,イノ珪酸塩鉱物
銅藍,,Covellite,硫化鉱物・硫塩鉱物
南部石,,Nambulite,イノ珪酸塩鉱物
軟マンガン鉱,マンガン,Pyrolusite,酸化鉱物
濃紅銀鉱,,Proustite,硫化鉱物・硫塩鉱物
白雲母,,Muscovite,フィロ珪酸塩鉱物
白鉛鉱,,Cerussite,炭酸塩鉱物
白鉄鉱,,Marcasite,硫化鉱物・硫塩鉱物
白榴石,,,テクト珪酸塩鉱物
斑銅鉱,,Bornite,硫化鉱物・硫塩鉱物
備中石,,,テクト珪酸塩鉱物
尾去沢石,,,硫酸塩鉱物
微斜長石,,Microcline,テクト珪酸塩鉱物
菱コバルト鉱,コバルト,Sphaerocobaltite,炭酸塩鉱物
菱マンガン鉱,マンガン,Rhodochrosite,炭酸塩鉱物
菱亜鉛鉱,,Smithsonite,炭酸塩鉱物
菱苦土石,,Magnesite,炭酸塩鉱物
菱鉄鉱,,Siderite,炭酸塩鉱物
菱沸石,,,テクト珪酸塩鉱物
氷晶石,,,ハロゲン化鉱物
氷長石,,Adularia,テクト珪酸塩鉱物
普通角閃石,,Hornblende,イノ珪酸塩鉱物
普通輝石,,Augite,イノ珪酸塩鉱物
葡萄石,,,フィロ珪酸塩鉱物
方ソーダ石,ソーダ,Sodalite,テクト珪酸塩鉱物
方鉛鉱,,Galena,硫化鉱物・硫塩鉱物
方解石,,Calcite,炭酸塩鉱物
方解石（鐘乳状）,,Calcite,炭酸塩鉱物
方沸石,,Analcime,テクト珪酸塩鉱物
明礬石,,,硫酸塩鉱物
毛鉱（硫安鉛鉱）,,,硫化鉱物・硫塩鉱物
雄黄,,Realgar,硫化鉱物・硫塩鉱物
藍晶石,,Kyanite,ネソ珪酸塩鉱物
藍鉄鉱（ランテッコウ）,ランテッコウ,Vivianite,燐酸塩鉱物
藍銅鉱,,Azurite,炭酸塩鉱物
硫カドミウム鉱,カドミウム,Greenockite,硫化鉱物・硫塩鉱物
硫酸塩鉱,,,硫酸塩鉱物
硫砒鉄鉱,,,硫化鉱物・硫塩鉱物
硫砒銅鉱,,,硫化鉱物・硫塩鉱物
緑マンガン鉱,マンガン,Manganosite,酸化鉱物
緑鉛鉱,,,燐酸塩鉱物
緑閃石,,,イノ珪酸塩鉱物
緑閃石（軟玉）,,,イノ珪酸塩鉱物
緑柱石,,Beryl,シクロ(サイクロ）珪酸塩鉱物
緑柱石（エメラルド）,エメラルド,Emerald,シクロ(サイクロ）珪酸塩鉱物
緑簾石,,,ソロ珪酸塩鉱物
燐灰ウラン石,ウラン,Autunite,燐酸塩鉱物
燐灰石,,Apatite,燐酸塩鉱物
燐鉱,,Phosphorite,燐酸塩鉱物
燐銅ウラン鉱,ウラン,Torbernite,燐酸塩鉱物
鱗雲母（リシア雲母）,リシア,Lepidolite,フィロ珪酸塩鉱物
鱗珪石,,,酸化鉱物
橄欖石,,Olivine,ネソ珪酸塩鉱物
櫻井鉱,,,硫化鉱物・硫塩鉱物
瑪瑙（メノウ）,メノウ,Agate,酸化鉱物
砒四面銅鉱,,,硫化鉱物・硫塩鉱物
砒鉄鉱,,,硫化鉱物・硫塩鉱物
菫青石,,Cordierite,シクロ(サイクロ）珪酸塩鉱物
霰石,,Aragonite,炭酸塩鉱物